rpm,V_mph,J,Ct,Cp,power_W,torque_Nm,thrust_N
14000.0,38.09,0.2219,0.0753,0.0328,1964.104,1.34,58.852
14000.0,41.9,0.244,0.0724,0.0324,1943.804,1.326,56.566
14000.0,45.71,0.2662,0.0693,0.032,1916.467,1.307,54.151
14000.0,49.52,0.2884,0.0661,0.0314,1881.7,1.283,51.607
14000.0,53.32,0.3106,0.0626,0.0307,1839.143,1.254,48.936
14000.0,57.13,0.3328,0.0591,0.0298,1788.435,1.22,46.138
14000.0,60.94,0.355,0.0553,0.0288,1729.361,1.18,43.218
14000.0,64.75,0.3772,0.0514,0.0277,1662.048,1.134,40.19
14000.0,68.56,0.3993,0.0474,0.0265,1586.708,1.082,37.068
14000.0,72.37,0.4215,0.0433,0.0251,1503.515,1.026,33.863
14000.0,76.18,0.4437,0.0391,0.0236,1412.637,0.964,30.586
14000.0,79.99,0.4659,0.0349,0.0219,1314.268,0.896,27.249
14000.0,83.8,0.4881,0.0305,0.0202,1208.643,0.824,23.862
14000.0,87.6,0.5103,0.0262,0.0183,1096.074,0.748,20.437
14000.0,91.41,0.5325,0.0217,0.0163,976.962,0.666,16.989
14000.0,95.22,0.5546,0.0173,0.0142,851.835,0.581,13.531
14000.0,99.03,0.5768,0.0129,0.012,721.373,0.492,10.082
14000.0,102.84,0.599,0.0085,0.0098,586.441,0.4,6.662
14000.0,106.65,0.6212,0.0042,0.0075,448.068,0.306,3.292
14000.0,110.46,0.6434,0.0,0.0051,306.384,0.209,-0.027
15000.0,0.0,0.0,0.0973,0.0324,2387.843,1.52,87.287
15000.0,4.08,0.0222,0.0959,0.0327,2411.853,1.535,85.986
15000.0,8.15,0.0443,0.0943,0.033,2433.756,1.549,84.575
15000.0,12.23,0.0665,0.0926,0.0333,2452.952,1.562,83.048
15000.0,16.31,0.0886,0.0908,0.0335,2468.837,1.572,81.399
15000.0,20.38,0.1108,0.0888,0.0336,2480.763,1.579,79.622
15000.0,24.46,0.133,0.0866,0.0337,2488.04,1.584,77.709
15000.0,28.54,0.1551,0.0844,0.0338,2489.975,1.585,75.657
15000.0,32.61,0.1773,0.0819,0.0337,2485.849,1.583,73.46
15000.0,36.69,0.1995,0.0793,0.0336,2474.971,1.576,71.115
15000.0,40.77,0.2216,0.0765,0.0333,2456.662,1.564,68.619
15000.0,44.84,0.2438,0.0736,0.033,2430.283,1.547,65.971
15000.0,48.92,0.2659,0.0704,0.0325,2395.24,1.525,63.17
15000.0,52.99,0.2881,0.0671,0.0319,2350.987,1.497,60.217
15000.0,57.07,0.3103,0.0637,0.0311,2297.021,1.462,57.114
15000.0,61.15,0.3324,0.0601,0.0303,2232.874,1.421,53.863
15000.0,65.22,0.3546,0.0563,0.0293,2158.268,1.374,50.467
15000.0,69.3,0.3768,0.0523,0.0281,2073.384,1.32,46.943
15000.0,73.38,0.3989,0.0483,0.0268,1978.526,1.26,43.307
15000.0,77.45,0.4211,0.0441,0.0254,1873.981,1.193,39.573
15000.0,81.53,0.4432,0.0399,0.0239,1760.038,1.12,35.754
15000.0,85.61,0.4654,0.0355,0.0222,1637.029,1.042,31.861
15000.0,89.68,0.4876,0.0311,0.0204,1505.364,0.958,27.909
15000.0,93.76,0.5097,0.0267,0.0185,1365.557,0.869,23.91
15000.0,97.84,0.5319,0.0222,0.0165,1218.271,0.776,19.882
15000.0,101.91,0.554,0.0177,0.0144,1064.344,0.678,15.84
15000.0,105.99,0.5762,0.0132,0.0123,904.818,0.576,11.806
15000.0,110.07,0.5984,0.0087,0.01,740.969,0.472,7.802
15000.0,114.14,0.6205,0.0043,0.0078,574.275,0.366,3.854
15000.0,118.22,0.6427,0.0,0.0055,404.957,0.258,-0.035
16000.0,0.0,0.0,0.0987,0.0343,3071.253,1.833,100.714
16000.0,4.34,0.0221,0.0973,0.0345,3091.212,1.845,99.251
16000.0,8.69,0.0443,0.0957,0.0347,3108.438,1.855,97.66
16000.0,13.03,0.0664,0.094,0.0349,3122.308,1.863,95.934
16000.0,17.38,0.0886,0.0922,0.035,3132.176,1.869,94.065
16000.0,21.72,0.1107,0.0902,0.0351,3137.356,1.872,92.045
16000.0,26.07,0.1329,0.0881,0.035,3137.118,1.872,89.868
16000.0,30.41,0.155,0.0858,0.035,3130.686,1.868,87.527
16000.0,34.76,0.1772,0.0833,0.0348,3117.283,1.86,85.015
16000.0,39.1,0.1993,0.0807,0.0346,3096.118,1.848,82.33
16000.0,43.45,0.2214,0.0779,0.0343,3066.421,1.83,79.466
16000.0,47.79,0.2436,0.0749,0.0338,3027.463,1.807,76.423
16000.0,52.14,0.2657,0.0717,0.0333,2978.542,1.778,73.201
16000.0,56.48,0.2879,0.0684,0.0326,2919.005,1.742,69.801
16000.0,60.83,0.31,0.0649,0.0318,2848.221,1.7,66.223
16000.0,65.17,0.3322,0.0612,0.0309,2765.884,1.651,62.471
16000.0,69.52,0.3543,0.0574,0.0299,2671.779,1.595,58.55
16000.0,73.86,0.3765,0.0534,0.0287,2566.145,1.532,54.476
16000.0,78.21,0.3986,0.0493,0.0274,2449.043,1.462,50.271
16000.0,82.55,0.4207,0.045,0.0259,2320.871,1.385,45.948
16000.0,86.9,0.4429,0.0407,0.0244,2181.944,1.302,41.524
16000.0,91.24,0.465,0.0363,0.0227,2032.844,1.213,37.012
16000.0,95.59,0.4872,0.0318,0.0209,1874.475,1.119,32.429
16000.0,99.93,0.5093,0.0272,0.0191,1707.603,1.019,27.789
16000.0,104.28,0.5315,0.0226,0.0171,1533.37,0.915,23.112
16000.0,108.62,0.5536,0.018,0.0151,1353.117,0.808,18.417
16000.0,112.97,0.5757,0.0135,0.0131,1168.348,0.697,13.728
16000.0,117.31,0.5979,0.0089,0.011,980.878,0.585,9.072
16000.0,121.66,0.62,0.0044,0.0089,792.714,0.473,4.479
16000.0,126.0,0.6422,0.0,0.0067,603.947,0.36,-0.048
17000.0,0.0,0.0,0.1,0.0379,4070.649,2.287,115.248
17000.0,4.63,0.0222,0.0986,0.038,4078.495,2.291,113.634
17000.0,9.25,0.0444,0.0971,0.038,4082.165,2.293,111.871
17000.0,13.88,0.0666,0.0954,0.038,4080.997,2.292,109.951
17000.0,18.5,0.0887,0.0936,0.038,4074.3,2.289,107.863
17000.0,23.13,0.1109,0.0917,0.0378,4061.385,2.281,105.598
17000.0,27.75,0.1331,0.0895,0.0376,4041.532,2.27,103.147
17000.0,32.38,0.1553,0.0872,0.0374,4014.048,2.255,100.503
17000.0,37.0,0.1775,0.0848,0.0371,3978.224,2.235,97.659
17000.0,41.63,0.1997,0.0821,0.0366,3933.356,2.209,94.61
17000.0,46.25,0.2219,0.0793,0.0361,3878.737,2.179,91.352
17000.0,50.88,0.244,0.0763,0.0355,3813.665,2.142,87.884
17000.0,55.5,0.2662,0.0731,0.0348,3737.428,2.099,84.205
17000.0,60.13,0.2884,0.0697,0.034,3649.312,2.05,80.316
17000.0,64.75,0.3106,0.0662,0.0331,3548.625,1.993,76.218
17000.0,69.38,0.3328,0.0624,0.032,3434.638,1.929,71.915
17000.0,74.0,0.355,0.0585,0.0308,3309.351,1.859,67.411
17000.0,78.63,0.3772,0.0545,0.0296,3173.299,1.783,62.727
17000.0,83.25,0.3994,0.0502,0.0282,3027.152,1.7,57.886
17000.0,87.88,0.4215,0.0459,0.0268,2873.355,1.614,52.907
17000.0,92.5,0.4437,0.0415,0.0252,2710.755,1.523,47.806
17000.0,97.13,0.4659,0.037,0.0236,2537.933,1.426,42.604
17000.0,101.75,0.4881,0.0324,0.0219,2356.395,1.324,37.318
17000.0,106.38,0.5103,0.0277,0.0202,2167.801,1.218,31.965
17000.0,111.0,0.5325,0.0231,0.0184,1973.527,1.109,26.57
17000.0,115.63,0.5547,0.0184,0.0165,1775.58,0.997,21.155
17000.0,120.25,0.5768,0.0137,0.0147,1576.204,0.885,15.751
17000.0,124.88,0.599,0.009,0.0128,1377.618,0.774,10.391
17000.0,129.5,0.6212,0.0044,0.011,1182.203,0.664,5.111
17000.0,134.13,0.6434,-0.0001,0.0092,988.536,0.555,-0.091
18000.0,0.0,0.0,0.1007,0.043,5474.34,2.904,130.114
18000.0,5.02,0.0228,0.0994,0.0429,5472.095,2.903,128.383
18000.0,10.05,0.0455,0.0979,0.0429,5461.774,2.898,126.47
18000.0,15.07,0.0683,0.0963,0.0427,5442.543,2.887,124.364
18000.0,20.1,0.091,0.0945,0.0425,5413.627,2.872,122.051
18000.0,25.12,0.1138,0.0925,0.0422,5374.332,2.851,119.519
18000.0,30.15,0.1366,0.0904,0.0418,5324.024,2.824,116.757
18000.0,35.17,0.1593,0.0881,0.0413,5262.126,2.792,113.755
18000.0,40.19,0.1821,0.0856,0.0407,5188.058,2.752,110.503
18000.0,45.22,0.2049,0.0828,0.04,5101.259,2.706,106.996
18000.0,50.24,0.2276,0.0799,0.0392,5001.011,2.653,103.227
18000.0,55.27,0.2504,0.0768,0.0383,4886.887,2.593,99.194
18000.0,60.29,0.2731,0.0735,0.0373,4758.495,2.524,94.898
18000.0,65.32,0.2959,0.07,0.0362,4615.441,2.449,90.341
18000.0,70.34,0.3187,0.0662,0.035,4457.338,2.365,85.529
18000.0,75.36,0.3414,0.0623,0.0336,4283.677,2.273,80.464
18000.0,80.39,0.3642,0.0582,0.0322,4097.467,2.174,75.161
18000.0,85.41,0.387,0.0539,0.0306,3904.202,2.071,69.646
18000.0,90.44,0.4097,0.0495,0.0291,3706.515,1.966,63.944
18000.0,95.46,0.4325,0.045,0.0276,3513.159,1.864,58.074
18000.0,100.49,0.4552,0.0403,0.0261,3326.242,1.765,52.057
18000.0,105.51,0.478,0.0356,0.0246,3131.736,1.661,45.927
18000.0,110.53,0.5008,0.0307,0.023,2931.352,1.555,39.711
18000.0,115.56,0.5235,0.0259,0.0214,2728.694,1.448,33.436
18000.0,120.58,0.5463,0.021,0.0198,2525.1,1.34,27.134
18000.0,125.61,0.5691,0.0161,0.0182,2323.183,1.232,20.842
18000.0,130.63,0.5918,0.0113,0.0167,2125.91,1.128,14.605
18000.0,135.66,0.6146,0.0066,0.0152,1935.472,1.027,8.472
18000.0,140.68,0.6373,0.0019,0.0137,1752.251,0.93,2.481
